Link;x;y;00:00:00;01:00:00;02:00:00;03:00:00;04:00:00;05:00:00;06:00:00;07:00:00;08:00:00;09:00:00;10:00:00;11:00:00;12:00:00;13:00:00;14:00:00;15:00:00;16:00:00;17:00:00;18:00:00;19:00:00;20:00:00;21:00:00;22:00:00;23:00:00
2788;452357.7266425297;5734645.585476423;0;0;0;0;0;0;0;1;5;0;0;0;0;0;1;2;2;2;0;0;0;0;0;0
10538;463671.68019428116;5737137.803973392;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
2666;452757.74633217265;5728845.586817262;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0
10890;456629.0814180283;5729942.260956797;0;0;0;0;0;0;2;4;1;0;0;0;0;0;1;7;7;0;0;0;0;0;0;0
3874;454436.6349211138;5734367.741328404;0;0;0;0;0;0;2;5;2;2;0;0;0;0;0;2;3;2;0;0;0;0;0;0
4723;457842.4281532287;5740150.105096101;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;2;1;0;0;0;0;0;0
6902;454428.8528282388;5730870.041749803;0;0;0;0;0;0;2;5;0;0;0;0;0;0;1;5;2;1;0;0;0;0;0;0
3517;456763.83992368355;5729923.285452845;0;0;0;0;0;0;1;0;1;0;0;0;0;0;2;1;1;1;0;0;0;0;0;0
3892;453949.8884906816;5736838.273016225;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;1;2;1;0;0;0;0;0;0
10668;455096.79276621423;5737226.59453402;0;0;0;0;0;0;0;7;2;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0
4617;448975.5907131265;5733459.608878885;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
6916;451603.0313315138;5734148.99439307;0;0;0;0;0;0;2;3;0;0;0;0;0;0;1;5;3;0;0;0;0;0;0;0
5829;455746.9802910088;5731909.147805381;0;0;0;0;0;0;5;1;1;0;0;0;0;0;1;1;3;0;0;0;0;0;0;0
4619;448823.08475053764;5733442.636927486;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
1586;454669.15709143487;5732946.717200571;0;0;0;0;0;1;1;4;1;0;0;0;0;0;0;3;1;1;0;0;0;0;0;0
2312;452760.8472263411;5733016.740005779;0;0;0;0;0;0;2;5;1;0;0;0;0;1;0;1;3;2;0;0;0;0;0;0
7;457803.97840007837;5730192.4105620105;0;0;0;0;0;0;6;2;1;0;0;0;0;0;4;7;4;0;0;0;0;0;0;0
6910;451665.4423603333;5731239.827878574;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0
804;445810.5228433235;5735383.046499569;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5825;455707.88412325404;5730306.310041609;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;6;1;0;0;0;0;0;0
2318;453172.74359512236;5733018.822210717;0;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0
2439;458127.43575892725;5732554.257632839;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;3;0;0;0;0;0;0;0
3783;454503.12446569785;5735800.762052243;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0
10635;454515.3490028084;5735709.568693055;0;0;0;0;0;0;1;2;1;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0
6928;457536.5668897509;5736011.516886445;0;0;0;0;0;0;1;2;4;0;0;0;0;0;1;2;3;1;0;0;0;0;0;0
