person;distance;unsharedDistance;distanceDetour;time;unsharedTime;timeDetour
12052000_12052000_29030;6089.107936228695;6089.107936228695;1.0;706.0;342.0;2.064327485380117
12052000_12052000_13084;8803.50186253413;8803.50186253413;1.0;782.0;691.0;1.1316931982633864
12071000_12052000_51003;13905.834190656315;13905.834190656315;1.0;1124.0;935.0;1.202139037433155
12052000_12052000_20037;1752.6650035781838;1752.6650035781838;1.0;213.0;124.0;1.717741935483871
12052000_12052000_26739;3259.901574496068;3259.901574496068;1.0;407.0;248.0;1.6411290322580645
12052000_12052000_19840;6577.8369140361265;6577.8369140361265;1.0;666.0;497.0;1.340040241448692
12052000_12052000_21525;7418.303828940175;7418.303828940175;1.0;660.0;509.0;1.2966601178781925
12052000_12052000_30472;24529.39819811761;11614.053792084795;2.1120444796660816;1985.0;718.0;2.764623955431755
12052000_12052000_19366;6754.488191908918;6754.488191908918;1.0;566.0;382.0;1.4816753926701571
12052000_12052000_17508;3401.999045750176;2876.9121452634286;1.182517530593089;488.0;261.0;1.8697318007662835
12052000_12052000_18541;19939.63927053034;8782.556297122852;2.270368511849167;1770.0;598.0;2.959866220735786
12052000_12052000_27964;21929.449127473352;18715.77739741601;1.1717092302295193;2535.0;1162.0;2.1815834767641995
12052000_12052000_29080;5916.381196554824;5916.381196554824;1.0;872.0;448.0;1.9464285714285714
12052000_12052000_18747;11908.754863989712;8670.55299466492;1.3734712043530892;1518.0;550.0;2.76
12052000_12052000_2568;4288.588871593065;4288.588871593065;1.0;553.0;384.0;1.4401041666666667
12071000_12052000_55072;13905.624811059271;13905.624811059271;1.0;936.0;863.0;1.0845886442641948
12052000_12052000_19589;5374.912781233091;5374.912781233091;1.0;684.0;416.0;1.6442307692307692
12052000_12052000_6466;8993.645779544038;8559.07592878781;1.0507729869873668;975.0;525.0;1.8571428571428572
12052000_12052000_20707;5647.417623249304;5385.222809075304;1.0486878302847829;555.0;411.0;1.3503649635036497
12052000_12052000_30376;4273.735509890443;4273.735509890443;1.0;502.0;369.0;1.3604336043360434
12052000_12052000_19235;8084.696760326011;7822.501946152011;1.033518024792947;765.0;497.0;1.539235412474849
12052000_12052000_29327;16591.51447702183;8157.472150680829;2.033903906817149;1638.0;656.0;2.4969512195121952
12052000_12052000_23658;10419.44152072293;6203.76852612184;1.6795342180886352;988.0;414.0;2.3864734299516908
12052000_12052000_29973;4535.65739497311;4535.65739497311;1.0;482.0;349.0;1.3810888252148996
12052000_12052000_2788;8950.137903693922;5378.251068485824;1.6641353833661237;1392.0;421.0;3.3064133016627077
12052000_12052000_13444;4146.306297933877;3794.1597679690985;1.092812783725571;583.0;322.0;1.81055900621118
12052000_12052000_17869;7269.657626738369;8637.74655946842;0.8416150643792164;1667.0;558.0;2.9874551971326166
12052000_12052000_28161;11460.68150804536;9518.637404182478;1.204025431519174;1475.0;501.0;2.9441117764471056
12052000_12052000_7058;12230.985469865465;7091.828393834923;1.7246589723600927;1863.0;541.0;3.44362292051756
12052000_12052000_3552;13990.956481529114;6702.424809311888;2.087446988154353;1542.0;485.0;3.179381443298969
12052000_12052000_14255;7009.910164426141;5453.921243977608;1.2852972844385504;1147.0;403.0;2.8461538461538463
