departureTime;personId;vehicleId;fromLinkId;fromX;fromY;toLinkId;toX;toY;waitTime;arrivalTime;travelTime;travelDistance_m;directTravelDistance_m;fareForLeg
19103.0;12052000_12052000_29030;taxi160;6686;456513.51;5728015.34;4446;453718.01;5732889.79;363.0;19809.0;343.0;6089.11;6089.11;-2.06
19906.0;12052000_12052000_13084;taxi3;3989;455924.97;5731516.63;8353;459380.78;5734295.35;90.0;20688.0;692.0;8803.5;8803.5;-2.95
20002.0;12071000_12052000_51003;taxi28;5920;448345.92;5733249.55;8398;457270.96;5737320.07;188.0;21126.0;936.0;13905.83;13905.83;-4.22
20291.0;12052000_12052000_20037;taxi153;578;456039.41;5730317.85;10964;457536.05;5730229.81;88.0;20504.0;125.0;1752.67;1752.67;-2
20320.0;12052000_12052000_26739;taxi132;8351;458498.68;5734918.71;1756;455760.85;5734792.38;158.0;20727.0;249.0;3259.9;3259.9;-2
20592.0;12052000_12052000_19840;taxi115;4803;454595.25;5737359.79;3125;451603.03;5734148.99;168.0;21258.0;498.0;6577.84;6577.84;-2.31
20808.0;12052000_12052000_21525;taxi141;1828;454459.98;5730206.94;8791;451515.51;5734930.37;150.0;21468.0;510.0;7418.3;7418.3;-2.49
20973.0;12052000_12052000_30472;taxi179;4070;456284.12;5731562.14;2979;457619.8;5740765.68;196.0;22958.0;1789.0;24529.4;11614.05;-3.54
20987.0;12052000_12052000_19366;taxi39;1586;454669.16;5732946.72;7217;455768.22;5728543.96;122.0;21553.0;444.0;6754.49;6754.49;-2.23
21034.0;12052000_12052000_17508;taxi86;10126;454276.19;5737842.91;301;455384.67;5739495.5;121.0;21522.0;367.0;3402;2876.91;-2
21050.0;12052000_12052000_18541;taxi120;5285;457287.41;5736417.93;1832;454687.89;5730150.09;92.0;22820.0;1678.0;19939.64;8782.56;-2.85
21073.0;12052000_12052000_27964;taxi179;4629;450307.33;5733625.69;7317;453994.12;5744352.42;974.0;23608.0;1561.0;21929.45;18715.78;-5.41
21086.0;12052000_12052000_29080;taxi120;8036;455614.28;5738043.5;7665;456307.95;5734774.13;423.0;21958.0;449.0;5916.38;5916.38;-2.13
21116.0;12052000_12052000_18747;taxi179;6916;451603.03;5734148.99;5293;456634.67;5737034.23;706.0;22634.0;812.0;11908.75;8670.55;-2.78
21152.0;12052000_12052000_2568;taxi138;10388;454738.07;5740708.57;6714;453364.65;5737549.46;168.0;21705.0;385.0;4288.59;4288.59;-2
21234.0;12071000_12052000_55072;taxi71;250;448750.69;5733358.77;1511;457018.4;5739764.68;72.0;22170.0;864.0;13905.62;13905.62;-4.14
21234.0;12052000_12052000_19589;taxi86;2936;454940.66;5739926.56;10228;457492.26;5739626.98;206.0;21918.0;478.0;5374.91;5374.91;-2
21258.0;12052000_12052000_6466;taxi39;6056;455768.22;5728543.96;7618;451938.79;5734838.27;264.0;22233.0;711.0;8993.65;8559.08;-2.74
21324.0;12052000_12052000_20707;taxi176;4760;452022.23;5733113.69;329;454860.93;5730173.17;112.0;21879.0;443.0;5647.42;5385.22;-2
21458.0;12052000_12052000_30376;taxi33;1655;457526.74;5740052.7;8398;457270.96;5737320.07;132.0;21960.0;370.0;4273.74;4273.74;-2
21721.0;12052000_12052000_19235;taxi135;2862;452434.57;5732612.37;3554;454075.67;5729834.94;236.0;22486.0;529.0;8084.7;7822.5;-2.56
21754.0;12052000_12052000_29327;taxi96;10738;455229.98;5739955.64;5723;452891.72;5734389.14;371.0;23392.0;1267.0;16591.51;8157.47;-2.79
21818.0;12052000_12052000_23658;taxi25;2461;454076.94;5732917.47;8584;457429.18;5734947.75;61.0;22806.0;927.0;10419.44;6203.77;-2.15
21819.0;12052000_12052000_29973;taxi88;10644;454431.31;5736495.8;4477;456592.9;5734704.22;132.0;22301.0;350.0;4535.66;4535.66;-2
21822.0;12052000_12052000_2788;taxi37;2442;456166.45;5731881.92;3670;456286.46;5735343.98;290.0;23214.0;1102.0;8950.14;5378.25;-2
21837.0;12052000_12052000_13444;taxi39;3731;453980.71;5733795.08;5327;451772.79;5735035.23;130.0;22420.0;453.0;4146.31;3794.16;-2
21862.0;12052000_12052000_17869;taxi37;5751;456293.89;5732207.18;7547;457723.71;5736525.94;940.0;23529.0;727.0;7269.66;8637.75;-2.79
21876.0;12052000_12052000_28161;taxi120;8508;453349.77;5734697.9;10261;455676.73;5726131.6;490.0;23351.0;985.0;11460.68;9518.64;-2.9
21888.0;12052000_12052000_7058;taxi25;8351;458498.68;5734918.71;5158;452448.43;5733007.82;464.0;23751.0;1399.0;12230.99;7091.83;-2.46
21927.0;12052000_12052000_3552;taxi153;942;457723.26;5729888.04;9948;452350.53;5728703.92;122.0;23469.0;1420.0;13990.96;6702.42;-2.33
21955.0;12052000_12052000_14255;taxi153;5178;455759.91;5731821.33;4634;453364.44;5731535.92;432.0;23102.0;715.0;7009.91;5453.92;-2
21956.0;12052000_12052000_24674;taxi25;8353;459380.78;5734295.35;295;454678;5734801.48;612.0;23367.0;799.0;6949.59;5587.82;-2.1
21965.0;12052000_12052000_4862;taxi96;3709;454206.76;5735746.61;6910;451665.44;5731239.83;1150.0;23839.0;724.0;8715.88;6514.34;-2.27
