vehicleId;drivenDistance_m;occupiedDistance_m;emptyDistance_m;passengerDistanceTraveled_pm
taxi79;110847.06;95471.1;15375.96;248987.83
taxi81;193090.85;186608.31;6482.54;388257.19
taxi80;147035.28;124193.91;22841.37;314494.42
taxi83;0;0;0;0
taxi82;127338.14;117948.7;9389.43;265254.68
taxi85;177254.19;148918.43;28335.76;286653.11
taxi84;159779.62;151190.21;8589.42;381717.52
taxi87;177915.11;171388.49;6526.61;387784.75
taxi86;176896.83;155164.74;21732.08;326370.93
taxi89;172194.91;168029.04;4165.86;413042.04
taxi88;184946.06;166670.25;18275.81;311290.44
taxi90;0;0;0;0
taxi92;181417.44;174314.38;7103.06;338510.2
taxi91;0;0;0;0
taxi94;123201.11;121002.15;2198.96;303684.38
taxi93;0;0;0;0
taxi96;201108.74;193254.81;7853.93;467925.08
taxi95;48593.75;39783.72;8810.03;99285.82
taxi98;181940.17;173587.5;8352.68;415421.23
taxi97;0;0;0;0
taxi99;0;0;0;0
taxi36;179343.72;174608.11;4735.61;428184.1
taxi35;208357.82;193046.47;15311.35;475765.65
taxi38;178960.37;176587.51;2372.86;383787.17
taxi37;155094.84;142019.74;13075.1;287495.3
taxi39;174054.07;165320.48;8733.59;319338.35
taxi192;136416.62;122121.19;14295.43;287531.47
taxi193;164447.3;150851.17;13596.13;321197.34
taxi194;132317.12;118227.51;14089.61;266386.61
taxi195;169655.77;158886.58;10769.19;435998.94
taxi190;199388.49;191695.05;7693.44;412058.66
taxi191;137498.89;123649.62;13849.26;265943.29
taxi196;0;0;0;0
taxi197;0;0;0;0
taxi198;162626.38;160877.61;1748.77;326825.28
taxi199;0;0;0;0
taxi41;0;0;0;0
taxi40;0;0;0;0
taxi43;132403.03;123265.7;9137.34;258271.48
taxi42;0;0;0;0
taxi45;167420.96;159126.53;8294.42;370959.73
taxi44;181276.36;158847.14;22429.22;368486.91
taxi47;0;0;0;0
taxi46;0;0;0;0
taxi49;104866.22;94292.46;10573.76;226213.77
taxi48;0;0;0;0
taxi181;0;0;0;0
taxi182;179721.81;165194.1;14527.7;361113.53
taxi183;187058.81;183518.46;3540.35;429917.09
taxi184;137717.78;133460.25;4257.54;291219.46
taxi180;193509.87;185183.5;8326.38;435581.49
taxi189;152979.03;148361.57;4617.46;313323.56
taxi185;190974.26;179253.7;11720.56;483124.79
taxi186;106773.62;95042.84;11730.78;203545.12
taxi187;179810.9;169401.29;10409.61;385256.19
taxi188;121923.71;104387.45;17536.26;218945.01
taxi50;81386.37;80346.92;1039.45;146380.92
taxi52;163658.91;148809.57;14849.34;351190.75
taxi51;0;0;0;0
taxi54;142200.22;136191.36;6008.86;312188.51
taxi53;96516.89;86734.27;9782.63;207416.18
taxi56;154050.07;146251.71;7798.36;383631.59
taxi55;155443.48;150517.23;4926.25;373400.02
taxi58;0;0;0;0
taxi57;0;0;0;0
taxi59;0;0;0;0
taxi61;201793.31;183154.98;18638.33;319945.83
taxi60;215449.38;202229.45;13219.92;422263.23
taxi63;196248.62;184421.31;11827.32;345849.34
taxi62;132224.47;122507.94;9716.53;250500.45
taxi65;159596.47;150596.57;8999.9;306327.76
taxi64;155924.05;150160.71;5763.34;345955.94
taxi67;45092.95;36678.09;8414.87;52263.54
taxi66;0;0;0;0
taxi69;171366.32;150992.23;20374.09;300334.4
taxi68;126808.73;109869.51;16939.22;261643.74
taxi70;138713.66;125461.44;13252.22;299132
taxi72;145021.88;133523.2;11498.68;307502.98
taxi71;190969.04;189601.26;1367.79;469581.39
taxi74;184118.14;178584.33;5533.81;390422.13
taxi73;119028.91;103899.25;15129.66;217512.98
taxi76;194946.81;187922.07;7024.74;419761
taxi75;0;0;0;0
taxi78;195968.45;186182.13;9786.32;441524.1
taxi77;44732.31;30597.69;14134.62;67862.36
taxi150;0;0;0;0
taxi151;0;0;0;0
taxi156;166425.92;149882.84;16543.08;355684.6
taxi157;135074.55;128175.14;6899.42;256501.87
taxi158;203969.24;180998.47;22970.77;425997.02
taxi159;168003.93;155767.23;12236.69;338928.92
taxi152;189021.17;179084.03;9937.15;369114.49
taxi153;192893.69;177237.86;15655.83;362476.63
taxi154;191534.65;180558.02;10976.63;378610.75
taxi155;121817.3;100861.55;20955.75;211062.16
taxi140;148212.1;144735.9;3476.2;293705.93
taxi145;136056.11;134683.14;1372.97;343444.81
taxi146;0;0;0;0
taxi147;164863.62;151513.26;13350.36;335767.26
taxi148;167755.46;153458.48;14296.98;353161.67
taxi141;179421.6;175728.35;3693.25;372538.95
