timebin;legs;average_wait;min;p_5;p_25;median;p_75;p_95;max
05:00:00;1;363;363;363;363;363;363;363;363
05:30:00;19;233.16;72;72;112;158;206;974;974
06:00:00;165;455.95;61;115.9;195.5;341;701;1099.4;1157
06:30:00;524;581.13;6;87.5;248.5;581.5;864.5;1154.25;1217
07:00:00;588;687.19;6;88.8;395;717;998.25;1172.55;1228
07:30:00;575;711.98;3;74.6;440;765;1005;1182.2;1216
08:00:00;409;641.94;3;85.5;339;643;930.5;1151.5;1219
08:30:00;156;480.24;5;58;200.5;426;715.25;1123.9;1198
09:00:00;27;377.22;31;43;140;242;573;1085;1133
09:30:00;0;0;0;0;0;0;0;0;0
10:00:00;0;0;0;0;0;0;0;0;0
10:30:00;0;0;0;0;0;0;0;0;0
11:00:00;0;0;0;0;0;0;0;0;0
11:30:00;0;0;0;0;0;0;0;0;0
12:00:00;0;0;0;0;0;0;0;0;0
12:30:00;0;0;0;0;0;0;0;0;0
13:00:00;0;0;0;0;0;0;0;0;0
13:30:00;4;138.5;61;61;75.5;150;190;193;193
14:00:00;62;316.81;47;61;96;183.5;519.5;956.45;1153
14:30:00;319;479.12;19;61;174;376;736;1125;1200
15:00:00;484;603.1;7;90.75;306.25;592.5;886.75;1150.75;1213
15:30:00;564;702.09;10;116.25;417;746;1000.75;1170.25;1251
16:00:00;545;689.12;4;97.6;423;729;987;1152;1225
16:30:00;377;624.88;7;61;333;625;945;1130.3;1197
17:00:00;191;506.17;1;61;199;472;799;1128.2;1168
17:30:00;82;283.18;17;47.4;61;170;325.75;1058.85;1082
18:00:00;48;120.85;3;38.8;61;87.5;139.75;347.3;654
18:30:00;32;146.03;21;24.9;89.25;146;200.75;292.95;382
19:00:00;18;170.78;29;29;138.75;178;219.5;267;267
19:30:00;9;212.56;144;144;179.5;212;252;285;285
20:00:00;1;218;218;218;218;218;218;218;218
