RequestId;actualWaitTime;estimatedWaitTime;deviate
drt_1953;1019.0;981.0;38.0
drt_1952;927.0;925.0;2.0
drt_1951;927.0;923.0;4.0
drt_1950;931.0;876.0;55.0
drt_1949;694.0;691.0;3.0
drt_1948;937.0;862.0;75.0
drt_1947;618.0;281.0;337.0
drt_1946;956.0;954.0;2.0
drt_1945;507.0;505.0;2.0
drt_1944;1000.0;998.0;2.0
drt_1943;904.0;897.0;7.0
drt_1942;786.0;784.0;2.0
drt_1941;694.0;692.0;2.0
drt_1940;548.0;546.0;2.0
drt_1939;519.0;517.0;2.0
drt_1938;832.0;622.0;210.0
drt_1937;1055.0;1052.0;3.0
drt_1936;1075.0;1073.0;2.0
drt_1935;969.0;967.0;2.0
drt_1934;619.0;614.0;5.0
drt_1933;288.0;287.0;1.0
drt_1932;336.0;335.0;1.0
drt_1975;576.0;570.0;6.0
drt_1974;276.0;275.0;1.0
drt_1973;742.0;741.0;1.0
drt_1972;831.0;830.0;1.0
drt_1971;11.0;11.0;0.0
drt_1970;607.0;606.0;1.0
drt_1969;436.0;435.0;1.0
drt_1968;388.0;387.0;1.0
drt_1967;963.0;961.0;2.0
drt_1966;551.0;549.0;2.0
drt_1965;759.0;757.0;2.0
drt_1964;232.0;231.0;1.0
drt_1963;1162.0;1158.0;4.0
drt_1962;873.0;870.0;3.0
drt_1961;872.0;868.0;4.0
drt_1960;844.0;842.0;2.0
drt_1959;139.0;138.0;1.0
drt_1958;1131.0;1075.0;56.0
drt_1957;274.0;274.0;0.0
drt_1956;697.0;695.0;2.0
drt_1955;928.0;921.0;7.0
drt_1954;361.0;359.0;2.0
drt_4190;1208.0;1079.0;129.0
drt_4192;752.0;751.0;1.0
drt_4191;447.0;446.0;1.0
drt_4194;658.0;655.0;3.0
drt_4193;1053.0;1050.0;3.0
drt_4196;351.0;350.0;1.0
drt_4195;694.0;693.0;1.0
drt_4198;305.0;304.0;1.0
drt_1909;553.0;552.0;1.0
drt_4197;920.0;898.0;22.0
drt_1908;567.0;563.0;4.0
drt_1907;1092.0;981.0;111.0
drt_4199;570.0;568.0;2.0
drt_205;279.0;277.0;2.0
drt_1906;1140.0;1138.0;2.0
drt_206;61.0;61.0;0.0
drt_1905;375.0;373.0;2.0
drt_203;514.0;426.0;88.0
drt_1904;40.0;40.0;0.0
drt_204;546.0;545.0;1.0
drt_1903;14.0;14.0;0.0
drt_201;696.0;541.0;155.0
drt_1902;797.0;790.0;7.0
drt_202;214.0;213.0;1.0
drt_1901;856.0;851.0;5.0
drt_1900;1188.0;1105.0;83.0
drt_200;221.0;220.0;1.0
drt_209;185.0;184.0;1.0
drt_207;192.0;191.0;1.0
drt_208;827.0;826.0;1.0
drt_216;542.0;540.0;2.0
drt_217;1092.0;1090.0;2.0
drt_214;794.0;792.0;2.0
drt_215;169.0;168.0;1.0
drt_212;156.0;157.0;-1.0
drt_213;642.0;418.0;224.0
drt_210;89.0;88.0;1.0
drt_211;664.0;662.0;2.0
drt_1931;254.0;253.0;1.0
drt_1930;985.0;982.0;3.0
drt_218;500.0;499.0;1.0
drt_219;539.0;539.0;0.0
drt_4170;375.0;373.0;2.0
drt_4172;924.0;918.0;6.0
drt_220;416.0;322.0;94.0
drt_4171;784.0;583.0;201.0
drt_4174;236.0;235.0;1.0
drt_4173;872.0;867.0;5.0
drt_4176;1036.0;1032.0;4.0
drt_4175;1092.0;982.0;110.0
drt_4178;974.0;969.0;5.0
drt_1929;906.0;903.0;3.0
drt_4177;750.0;749.0;1.0
drt_227;966.0;549.0;417.0
drt_1928;1044.0;940.0;104.0
drt_228;747.0;745.0;2.0
drt_1927;1188.0;668.0;520.0
drt_4179;1008.0;942.0;66.0
drt_225;1095.0;1093.0;2.0
drt_1926;550.0;549.0;1.0
drt_226;218.0;217.0;1.0
drt_1925;381.0;378.0;3.0
drt_223;606.0;303.0;303.0
drt_1924;4.0;4.0;0.0
drt_224;175.0;174.0;1.0
drt_1923;403.0;403.0;0.0
drt_221;421.0;420.0;1.0
drt_1922;397.0;394.0;3.0
drt_222;232.0;231.0;1.0
drt_1921;1058.0;954.0;104.0
drt_1920;1034.0;1030.0;4.0
drt_229;407.0;406.0;1.0
drt_4181;882.0;880.0;2.0
drt_4180;485.0;484.0;1.0
drt_230;1159.0;970.0;189.0
drt_4183;74.0;74.0;0.0
drt_231;792.0;621.0;171.0
drt_4182;875.0;874.0;1.0
drt_4185;484.0;483.0;1.0
drt_4184;1123.0;1119.0;4.0
drt_4187;808.0;805.0;3.0
drt_4186;742.0;740.0;2.0
drt_1919;1073.0;997.0;76.0
drt_4189;134.0;134.0;0.0
drt_1918;637.0;634.0;3.0
drt_4188;1152.0;1120.0;32.0
drt_238;1217.0;1183.0;34.0
drt_1917;724.0;722.0;2.0
drt_239;886.0;884.0;2.0
drt_1916;1080.0;1072.0;8.0
drt_236;334.0;333.0;1.0
drt_1915;390.0;389.0;1.0
drt_237;857.0;854.0;3.0
drt_1914;742.0;740.0;2.0
drt_234;837.0;837.0;0.0
drt_1913;612.0;610.0;2.0
drt_235;619.0;525.0;94.0
drt_1912;327.0;327.0;0.0
drt_232;236.0;237.0;-1.0
drt_1911;1124.0;1122.0;2.0
drt_233;357.0;355.0;2.0
drt_1910;878.0;876.0;2.0
drt_4150;23.0;23.0;0.0
drt_4152;1104.0;1102.0;2.0
drt_4151;895.0;862.0;33.0
drt_4154;355.0;353.0;2.0
drt_4153;736.0;579.0;157.0
drt_4156;623.0;589.0;34.0
drt_4155;466.0;467.0;-1.0
drt_4158;791.0;788.0;3.0
drt_4157;728.0;723.0;5.0
drt_4159;666.0;665.0;1.0
drt_4161;1002.0;1000.0;2.0
drt_4160;653.0;650.0;3.0
drt_4163;965.0;961.0;4.0
drt_4162;559.0;557.0;2.0
drt_4165;969.0;818.0;151.0
drt_4164;131.0;131.0;0.0
drt_4167;403.0;402.0;1.0
drt_4166;113.0;114.0;-1.0
drt_4169;863.0;861.0;2.0
drt_4168;1103.0;978.0;125.0
drt_4130;502.0;500.0;2.0
drt_4132;891.0;885.0;6.0
drt_4131;1144.0;758.0;386.0
drt_4134;733.0;730.0;3.0
drt_4133;709.0;707.0;2.0
drt_4136;460.0;397.0;63.0
drt_4135;414.0;412.0;2.0
drt_4138;674.0;668.0;6.0
drt_4137;735.0;732.0;3.0
drt_4139;12.0;12.0;0.0
drt_4141;18.0;18.0;0.0
drt_4140;209.0;209.0;0.0
drt_4143;927.0;926.0;1.0
drt_4142;474.0;473.0;1.0
drt_4145;80.0;80.0;0.0
drt_4144;1145.0;1143.0;2.0
drt_4147;1199.0;1198.0;1.0
drt_4146;723.0;718.0;5.0
drt_4149;545.0;544.0;1.0
drt_4148;899.0;896.0;3.0
drt_1079;727.0;726.0;1.0
drt_1078;99.0;99.0;0.0
drt_1077;379.0;378.0;1.0
drt_1076;550.0;546.0;4.0
drt_1075;1031.0;1029.0;2.0
drt_1074;833.0;831.0;2.0
drt_1073;1110.0;1031.0;79.0
drt_1072;786.0;784.0;2.0
drt_1071;152.0;151.0;1.0
drt_1070;824.0;819.0;5.0
drt_4110;786.0;783.0;3.0
drt_4112;410.0;378.0;32.0
drt_4111;1033.0;1030.0;3.0
drt_4114;820.0;818.0;2.0
drt_4113;1120.0;1031.0;89.0
drt_4116;1187.0;1184.0;3.0
drt_4115;554.0;553.0;1.0
drt_4118;1152.0;884.0;268.0
drt_4117;444.0;441.0;3.0
drt_4119;1125.0;1122.0;3.0
drt_1069;1171.0;1166.0;5.0
drt_1068;1122.0;1119.0;3.0
drt_1067;770.0;767.0;3.0
drt_1066;1132.0;1127.0;5.0
drt_1065;961.0;958.0;3.0
drt_1064;1152.0;656.0;496.0
drt_1063;582.0;580.0;2.0
drt_1062;519.0;517.0;2.0
drt_1061;21.0;21.0;0.0
drt_1060;1069.0;921.0;148.0
drt_4121;685.0;683.0;2.0
drt_4120;804.0;802.0;2.0
drt_4123;729.0;727.0;2.0
drt_4122;542.0;540.0;2.0
drt_4125;1131.0;1128.0;3.0
drt_4124;255.0;254.0;1.0
drt_4127;922.0;919.0;3.0
drt_4126;1159.0;1155.0;4.0
drt_4129;371.0;370.0;1.0
drt_4128;187.0;187.0;0.0
drt_1099;125.0;125.0;0.0
drt_1098;319.0;319.0;0.0
drt_1097;502.0;502.0;0.0
drt_1096;925.0;920.0;5.0
drt_1095;210.0;210.0;0.0
drt_1094;415.0;413.0;2.0
drt_1093;716.0;712.0;4.0
drt_1092;317.0;315.0;2.0
drt_1091;688.0;685.0;3.0
drt_1090;1212.0;1029.0;183.0
drt_2390;81.0;81.0;0.0
drt_2391;127.0;126.0;1.0
drt_2392;178.0;179.0;-1.0
drt_2393;1123.0;733.0;390.0
drt_2394;421.0;420.0;1.0
drt_2395;38.0;38.0;0.0
drt_2396;256.0;255.0;1.0
drt_2397;151.0;151.0;0.0
drt_2398;242.0;243.0;-1.0
drt_2399;140.0;141.0;-1.0
drt_1089;1191.0;1190.0;1.0
drt_1088;948.0;947.0;1.0
drt_1087;1089.0;1085.0;4.0
drt_1086;799.0;797.0;2.0
drt_1085;666.0;585.0;81.0
drt_1084;892.0;890.0;2.0
drt_1083;218.0;216.0;2.0
drt_1082;835.0;833.0;2.0
drt_1081;965.0;962.0;3.0
drt_1080;888.0;795.0;93.0
drt_4101;1033.0;1031.0;2.0
drt_4100;877.0;875.0;2.0
drt_4103;1144.0;1008.0;136.0
drt_4102;809.0;806.0;3.0
drt_4105;1114.0;922.0;192.0
drt_4104;1113.0;1110.0;3.0
drt_4107;367.0;365.0;2.0
drt_4106;701.0;698.0;3.0
drt_4109;1003.0;940.0;63.0
drt_4108;628.0;627.0;1.0
drt_1159;1093.0;1090.0;3.0
drt_1158;291.0;291.0;0.0
drt_1157;1108.0;1106.0;2.0
drt_1156;277.0;276.0;1.0
drt_1155;312.0;312.0;0.0
drt_1154;1078.0;1076.0;2.0
drt_1153;282.0;282.0;0.0
drt_1152;1088.0;1082.0;6.0
drt_1151;788.0;784.0;4.0
