pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
TaxiPickup---TaxiDropoff	6868	13718	9407	6467	4142	2334	1056	809	257	181	46	9	4
TaxiStay---TaxiPickup	20255	12030	5773	2201	732	202	69	24	2	3	0	0	0
home---taxi interaction	12809	3818	1787	1221	1014	547	301	275	250	227	154	131	115
home---work	10	21	24	14	15	4	6	6	0	0	0	0	3
taxi interaction---home	12809	3818	1787	1221	1014	547	301	275	250	227	154	131	115
taxi interaction---taxi interaction	234	4424	8823	8848	7323	5989	4197	2358	1520	801	414	210	157
taxi interaction---work	8428	6182	2576	1454	721	471	268	387	395	230	172	126	1239
work---home	10	21	24	14	15	4	6	6	0	0	0	0	3
work---taxi interaction	8428	6182	2576	1454	721	471	268	387	395	230	172	126	1239

average trip duration: 795.6624170928964 seconds = 00:13:15
